,code,detailed_work_activity
567,29-1229.01,Present medical research reports.
568,39-3091.00,"Explain regulations, policies, or procedures."
569,39-3091.00,Sell products or services.
570,39-3091.00,Provide attraction or event information to patrons.
571,39-3091.00,Maintain knowledge of business operations.
572,39-3091.00,Conduct amusement or gaming activities.
573,39-3091.00,Provide patrons with directions to locales or attractions.
574,39-3091.00,Communicate with management or other staff to resolve problems.
575,39-3091.00,Monitor operational quality or safety.
576,39-3091.00,Assist patrons with entering or exiting vehicles or other forms of transportation.
577,39-3091.00,Maintain financial or account records.
578,39-3091.00,Prepare operational reports or records.
579,39-3091.00,Clean facilities or work areas.
580,39-3091.00,Clean tools or equipment.
581,39-3091.00,Inspect equipment to ensure proper functioning.
582,39-3091.00,Verify patron or staff credentials.
583,39-3091.00,Maintain supply or equipment inventories.
584,39-3091.00,Arrange facility schedules.
585,39-3091.00,Distribute resources to patrons or employees.
586,39-3091.00,Drive trucks or other vehicles to or at work sites.
587,29-1071.01,Adjust settings or positions of medical equipment.
588,29-1071.01,Assist healthcare practitioners during examinations or treatments.
589,29-1071.01,"Monitor patient conditions during treatments, procedures, or activities."
590,29-1071.01,Implement advanced life support techniques.
591,29-1071.01,Treat medical emergencies.
592,29-1071.01,Administer blood or other fluids intravenously.
593,29-1071.01,Record patient medical histories.
594,29-1071.01,Gather medical information from patient histories.
595,29-1071.01,Maintain inventory of medical supplies or equipment.
596,29-1071.01,Examine medical instruments or equipment to ensure proper operation.
597,29-1071.01,Maintain medical equipment or instruments.
598,29-1071.01,Monitor patient progress or responses to treatments.
599,29-1071.01,Administer anesthetics or sedatives to control pain.
600,29-1071.01,Supervise patient care personnel.
601,29-1071.01,Train medical providers.
602,29-1071.01,Collect biological specimens from patients.
603,29-1071.01,Maintain medical or professional knowledge.
604,29-1211.00,"Monitor patient conditions during treatments, procedures, or activities."
605,29-1211.00,Implement advanced life support techniques.
606,29-1211.00,Prepare patients physically for medical procedures.
607,29-1211.00,Record patient medical histories.
608,29-1211.00,Administer anesthetics or sedatives to control pain.
609,29-1211.00,Examine patients to assess general physical condition.
610,29-1211.00,Position patients for treatment or examination.
611,29-1211.00,Collaborate with healthcare professionals to plan or provide treatment.
612,29-1211.00,Monitor patient progress or responses to treatments.
613,29-1211.00,Order medical diagnostic or clinical tests.
614,29-1211.00,Train medical providers.
615,29-1211.00,Direct healthcare delivery programs.
616,29-1211.00,Prescribe medications.
617,29-1211.00,Prescribe treatments or therapies.
618,29-1211.00,Refer patients to other healthcare practitioners or health resources.
619,29-1211.00,Diagnose medical conditions.
620,29-1211.00,Supervise patient care personnel.
621,29-1211.00,Schedule medical facility use.
622,29-1211.00,"Provide health and wellness advice to patients, program participants, or caregivers."
623,29-1211.00,Conduct research to increase knowledge about medical issues.
624,45-2021.00,Care for animals.
625,45-2021.00,Clean equipment or facilities.
626,45-2021.00,Perform animal breeding procedures.
627,45-2021.00,Monitor animal behavior or condition.
628,45-2021.00,Communicate with other workers to coordinate activities.
629,45-2021.00,Treat animal injuries or illnesses.
630,45-2021.00,Prepare materials or solutions for animal or plant use.
631,45-2021.00,Sell agricultural products.
632,45-2021.00,Order medical supplies or equipment.
633,45-2021.00,Purchase products or services.
634,45-2021.00,Provide care for animals.
635,45-2021.00,"Examine animals to detect illness, injury or other problems."
636,45-2021.00,Adjust building climate control systems.
637,45-2021.00,Maintain operational records.
638,45-2021.00,Build agricultural structures.
639,45-2021.00,Mark agricultural or forestry products for identification.
640,45-2021.00,Package agricultural products for shipment or further processing.
641,45-2021.00,Promote agricultural or hunting activities.
642,45-2021.00,Record agricultural or forestry inventory data.
643,45-2021.00,Remove skin or other body parts from animals.
644,39-2021.00,Care for animals.
645,39-2021.00,Administer basic health care or medical treatments.
646,39-2021.00,Monitor health or behavior of people or animals.
647,39-2021.00,Prepare foods or meals.
648,39-2021.00,Maintain facilities.
649,39-2021.00,Clean facilities or work areas.
650,39-2021.00,Perform housekeeping duties.
651,39-2021.00,Document client health or progress.
652,39-2021.00,"Explain regulations, policies, or procedures."
653,39-2021.00,Monitor patron activities to identify problems or potential problems.
654,39-2021.00,Clean tools or equipment.
655,39-2021.00,Respond to customer inquiries.
656,39-2021.00,Perform administrative or clerical tasks.
657,39-2021.00,Schedule appointments.
658,39-2021.00,Confer with clients to discuss treatment plans or progress.
659,39-2021.00,Provide care for animals.
660,39-2021.00,"Provide health and wellness advice to patients, program participants, or caregivers."
661,39-2021.00,Discuss service options or needs with clients.
662,39-2021.00,Train animals.
663,39-2021.00,Maintain supply or equipment inventories.
664,39-2021.00,"Order materials, supplies, or equipment."
665,39-2021.00,Sell products or services.
666,33-9011.00,Examine crime scenes to obtain evidence.
667,33-9011.00,Interview people to gather information about criminal activities.
668,33-9011.00,Investigate illegal or suspicious activities.
669,33-9011.00,Provide care for animals.
670,33-9011.00,Use weapons or physical force to maintain security.
671,33-9011.00,Maintain operational records.
672,33-9011.00,Write operational reports.
673,33-9011.00,Check physical condition of people or animals.
674,33-9011.00,Testify at legal or legislative proceedings.
675,33-9011.00,Issue warnings or citations.
676,33-9011.00,"Inform the public about policies, services or procedures."
677,33-9011.00,Clean facilities or equipment.
678,33-9011.00,Collaborate with law enforcement or security agencies to respond to incidents.
679,33-9011.00,Examine personal documentation to ensure that it is valid.
680,33-9011.00,Inspect facilities to ensure compliance with security or safety regulations.
681,33-9011.00,Train employees in proper work procedures.
682,39-2011.00,Train animals.
683,39-2011.00,Direct productions or performances.
684,39-2011.00,Care for animals.
685,39-2011.00,Clean facilities or work areas.
686,39-2011.00,Maintain facilities.
687,39-2011.00,Monitor health or behavior of people or animals.
688,39-2011.00,Evaluate capabilities or training needs.
689,39-2011.00,Administer basic health care or medical treatments.
690,39-2011.00,Document client health or progress.
691,39-2011.00,Discuss service options or needs with clients.
692,39-2011.00,Organize recreational activities or events.
693,39-2011.00,Train others on performance techniques.
694,19-3091.00,Conduct anthropological or archaeological research.
695,19-3091.00,"Collect information from people through observation, interviews, or surveys."
696,19-3091.00,Prepare scientific or technical reports or presentations.
697,19-3091.00,Evaluate characteristics of archival or historical objects.
698,19-3091.00,Direct scientific activities.
699,19-3091.00,Plan social sciences research.
700,19-3091.00,Advise others about environmental management or conservation.
701,19-3091.00,Inspect condition of natural environments.
702,19-3091.00,Record research or operational data.
703,19-3091.00,Collect biological specimens.
704,19-3091.00,Mark materials or objects for identification.
705,19-3091.00,Package materials or products.
706,19-3091.00,Conduct research on social issues.
707,19-3091.00,Collect archival data.
708,19-3091.00,Train personnel in technical or scientific procedures.
709,19-3091.00,Advise others on matters of public policy.
710,19-3091.00,Design psychological or educational treatment procedures or programs.
711,19-3091.00,"Document events or evidence, using photographic or audiovisual equipment."
712,19-3091.00,Collaborate with technical specialists to resolve design or development problems.
