,Unnamed: 0,title,company,location,description,date_posted,link
87,87,Research Fellow - Post Quantum Cryptography,Queen's University Belfast ;,United Kingdom,"University Belfast, is seeking a Research Fellow to conduct research into the design and implementation of practical, robust and physically secure post-quantum cryptographic architectures at the Centre",about 20 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-Post-Quantum-Cryptography-Queen-s-University-Belfast=FsxvqXJk7RGUYQAlkGUTnw.html
88,88,Tenure-Track or Tenured Faculty Position in Quantum Information…,Okinawa Institute of Science and Technology Graduate University (OIST),Japan,". Applications in the following fields are invited: 1. Quantum Information Science and Quantum Technology Particular emphases in quantum algorithms, and quantum error correction. 2. Applied Cryptography and Cyber","Belfast, Northern Ireland",https://scholarshipdb.net/jobs-in-Japan/Tenure-Track-Or-Tenured-Faculty-Position-In-Quantum-Information-Okinawa-Institute-Of-Science-And-Technology-Graduate-University-Oist=At-Dj9Rh7RGUYQAlkGUTnw.html
89,89,Associate Professor in Experimental Quantum Communications,NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY - NTNU,Norway,favourable terms. NTNU is now announcing 16 tenure-track positions. About the position The focus of the tenure track position is to establish a research program addressing secure quantum communication. We,3 days ago,https://scholarshipdb.net/jobs-in-Norway/Associate-Professor-In-Experimental-Quantum-Communications-Norwegian-University-Of-Science-Technology-Ntnu=Q1OPpRlR7RGUYQAlkGUTnw.html
90,90,Full PhD Scholarship in Quantum Computing Architecture,Universitat Politècnica de Catalunya (UPC) - BarcelonaTECH,Spain,"The NaNoNetworking Center in Catalunya (N3Cat) seeks bright and motivated candidates for several projects related to quantum computing, including an ERC Starting Grant and an EIC Pathfinder project",about 15 hours ago,https://scholarshipdb.net/scholarships-in-Spain/Full-Ph-D-Scholarship-In-Quantum-Computing-Architecture-Universitat-Polit-cnica-De-Catalunya-Upc-Barcelona-Tech=vHua_3lV7RGUYQAlkGUTnw.html
91,91,PhD Studentship: Atomic Quantum Magnetometry for Healthcare and Fundamental Physics,University of Birmingham ;,United Kingdom,"The huge progress achieved in the manipulation of quantum systems is opening novel routes towards the generation of realistic quantum-based technology. Quantum sensors, in particular, exploit",24 days ago,https://scholarshipdb.net/scholarships-in-United-Kingdom/Ph-D-Studentship-Atomic-Quantum-Magnetometry-For-Healthcare-And-Fundamental-Physics-University-Of-Birmingham=gnpwiyBb7RGUYQAlkGUTnw.html
92,92,CDD - Characterization of quantum devices at cryogenic temperature H/F,CEA,France,A natural way to address the scalability of quantum devices is to design and realise arrays of individual quantum objects with nearest-neighbor interaction. In large-scale semiconductor quantum,22 days ago,https://scholarshipdb.net/jobs-in-France/Cdd-Characterization-Of-Quantum-Devices-At-Cryogenic-Temperature-H-F-Cea=pLWkXV5R7RGUYQAlkGUTnw.html
97,97,Postdoc in Experimental Quantum Magnetism,ETH Zurich,Switzerland,"Postdoc in Experimental Quantum Magnetism The Neutron Scattering and Magnetism (NSM) group at the Physics Department, ETH Zurich, is currently looking for an excellent candidate to fill a post",28 days ago,https://scholarshipdb.net/jobs-in-Switzerland/Postdoc-In-Experimental-Quantum-Magnetism-Eth-Zurich=ikWs8KtQ7RGUYQAlkGUTnw.html
98,98,"Visiting Research Associate Professor, Centre for Quantum Technologies",NATIONAL UNIVERSITY OF SINGAPORE,Europe,Job Description To develop a theoretical research programme at CQT on quantum entanglement and quantum parameter estimation. Project framework and goals: One of the theoretical issues of quantum,3 days ago,https://scholarshipdb.net/jobs-in-Europe/Visiting-Research-Associate-Professor-Centre-For-Quantum-Technologies-National-University-Of-Singapore=Cr4NRDth7RGUYQAlkGUTnw.html
99,99,Associate Professor in Quantum Mathematics,University of Southern Denmark,Denmark,"The Centre for Quantum Mathematics (QM) at the Department of Mathematics and Computer Science , University of Southern Denmark (SDU) invites applications for a number of positions as associate",about 3 hours ago,https://scholarshipdb.net/jobs-in-Denmark/Associate-Professor-In-Quantum-Mathematics-University-Of-Southern-Denmark=lOP6wMdO7RGUYQAlkGUTnw.html
100,100,PhD positions at Max Planck Graduate Center for Quantum Materials,Max Planck Graduate Center for Quantum Materials,Germany,"The term “quantum materials” refers to a rapidly evolving research frontier that aims to understand, control, and ultimately design materials in which quantum physics enables novel functionalities","Stuttgart, Baden W rttemberg",https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Positions-At-Max-Planck-Graduate-Center-For-Quantum-Materials-Max-Planck-Graduate-Center-For-Quantum-Materials=FuI1Bu9j7RGUYQAlkGUTnw.html
101,101,Research Software Engineer / Quantum Cloud Engineer for the JUNIQ…,Jülich Research Centre (FZJ),Germany,Work group: JSC – Jülich Supercomputing Centre Area of research: Scientific / postdoctoral posts Job description: Your Job: Within the research group Quantum Information Processing we are looking,about 3 hours ago,https://scholarshipdb.net/jobs-in-Germany/Research-Software-Engineer-Quantum-Cloud-Engineer-For-The-Juniq-J-lich-Research-Centre-Fzj=DRwbE8dc7RGUYQAlkGUTnw.html
102,102,International Max Planck Research School for Chemistry and Physics of Quantum Materials IMPRS for Chemistry and Physics of Quantum Materials,Max Planck Institute for Chemical Physics of Solids •,Germany,"Physics of Quantum Materials (IMPRS-CPQM) is a joint PhD programme between the Max Planck Institute for Chemical Physics of Solids (MPI CPfS) in Dresden, Germany, the Technische Universität Dresden (TU","Lich, Hessen",https://scholarshipdb.net/scholarships-in-Germany/International-Max-Planck-Research-School-For-Chemistry-And-Physics-Of-Quantum-Materials-Imprs-For-Chemistry-And-Physics-Of-Quantum-Materials-Max-Planck-Institute-For-Chemical-Physics-Of-Solids=8OCgsatj7RGUYQAlkGUTnw.html
103,103,Microwave optomechanical quantum circuits to integrate multiple nanoelectromechanical resonators,"IEMN (Institut d&amp;#039;Electronique, Microelectronique et Nanotechnologie)",France,and to detect nano-scale mechanical displacements [1]. They have exhibited potential in serving for signal processing and sensing in the quantum region. The objective of this Ph.D work is to develop,9 days ago,https://scholarshipdb.net/jobs-in-France/Microwave-Optomechanical-Quantum-Circuits-To-Integrate-Multiple-Nanoelectromechanical-Resonators-Iemn-Institut-D-Amp-039-Electronique-Microelectronique-Et-Nanotechnologie=ydTmBL5W7RGUYQAlkGUTnw.html
104,104,Associate Professor in experimental quantum communications,NTNU Norwegian University of Science and Technology,Norway,"This is NTNU NTNU is a broad-based university with a technical-scientific profile and a focus on professional education. The university is located in three cities with headquarters in Trondheim. At NTNU, 9,000 employees and 42,000 students work to create knowledge for a better world. The...","Dresden, Sachsen",https://scholarshipdb.net/jobs-in-Norway/Associate-Professor-In-Experimental-Quantum-Communications-Ntnu-Norwegian-University-Of-Science-And-Technology=r3dH3aNQ7RGUYQAlkGUTnw.html
105,105,PhD scholarship in Quantum Communication using High-Order Modes,Technical University of Denmark,Denmark,$name Back $name To job list PhD scholarship in Quantum Communication using High-Order Modes DTU Electro Friday 04 Nov 22 Apply for this job Apply no later than 1 January 2023 Apply for the job at DTU,about 11 hours ago,https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Scholarship-In-Quantum-Communication-Using-High-Order-Modes-Technical-University-Of-Denmark=XeW7ET5k7RGUYQAlkGUTnw.html
106,106,"Postdoctoral Fellowship, Blusson Quantum Matter Institute",The University of British Columbia (UBC),Canada,"Internationally recognized for its research and discoveries in quantum materials, quantum information, and quantum devices, the Stewart Blusson Quantum Matter Institute (Blusson QMI","Lille, Nord Pas de Calais",https://scholarshipdb.net/jobs-in-Canada/Postdoctoral-Fellowship-Blusson-Quantum-Matter-Institute-The-University-Of-British-Columbia-Ubc=m0LO7MZc7RGUYQAlkGUTnw.html
112,112,Research Assistant (PostDoc) in Quantum Nanophotonics (5 years contract),"Chair of ""Optoelektronics and Quantum Devices"" TU Berlin",Germany,"The ""Optoelectronics and Quantum Components"" group deals with the development of innovative material and device concepts based on low-dimensional semiconductor materials. In addition to basic","Berlin, Berlin",https://scholarshipdb.net/jobs-in-Germany/Research-Assistant-Post-Doc-In-Quantum-Nanophotonics-5-Years-Contract-Chair-Of-Optoelektronics-And-Quantum-Devices-Tu-Berlin=yHn6hk5W7RGUYQAlkGUTnw.html
113,113,Post-doctoral fellow in quantum information theory and open quantum systems (PA2022/3440),University of Lund,Sweden,"is conducted primarily in the fields of quantum many-body systems, which includes theoretical research in nuclear physics, nanometer physics, quantum information, atomic physics, and modeling",21 days ago,https://scholarshipdb.net/jobs-in-Sweden/Post-Doctoral-Fellow-In-Quantum-Information-Theory-And-Open-Quantum-Systems-Pa2022-3440-University-Of-Lund=FnZN4v5f7RGUYQAlkGUTnw.html
114,114,"Research Associate – SEM/FIB & STEM, at Stewart Blusson Quantum…",The University of British Columbia (UBC),Canada,The Stewart Blusson Quantum Matter Institute (Blusson QMI) at UBC is a world-leading venture into research of systems and phenomena involving quantum mechanics. One of its core areas of strength is,about 3 hours ago,https://scholarshipdb.net/jobs-in-Canada/Research-Associate-Sem-Fib-Stem-At-Stewart-Blusson-Quantum-The-University-Of-British-Columbia-Ubc=U3iT4r9c7RGUYQAlkGUTnw.html
115,115,Research Fellow (Quantum Entanglement),Nanyang Technological University,Singapore,to quantum sensing with entanglement Participate in publishing journal papers Job Requirements Holds a Ph.D. degree in applied physics or relevant subject from well-established universities/institutes Highly,"Vancouver Waterfront Coal Harbour Canada Place, British Columbia",https://scholarshipdb.net/jobs-in-Singapore/Research-Fellow-Quantum-Entanglement-Nanyang-Technological-University=FievlhVZ7RGUYQAlkGUTnw.html
116,116,Postdoctoral Fellowship in Theoretical Gravitational and Quantum Physics,University of Alberta,Canada,gravitational and quantum physics expertise. Information on research activities within the Physics department at the University of Alberta can be found here: https://www.ualberta.ca/physics/research/index.html,7 days ago,https://scholarshipdb.net/jobs-in-Canada/Postdoctoral-Fellowship-In-Theoretical-Gravitational-And-Quantum-Physics-University-Of-Alberta=7D0rLfpb7RGUYQAlkGUTnw.html
117,117,PhD position: Artificial-intelligence-controlled atom-by-atom synthesis of 2D quantum materials,Monash University,Australia,"fabrication of advanced 2D quantum materials. The AI framework will combine algorithmic approaches with machine learning (e.g., supervised, deep reinforcement), allowing for high-throughput engineering of","Singapore,",https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Artificial-Intelligence-Controlled-Atom-By-Atom-Synthesis-Of-2-D-Quantum-Materials-Monash-University=fQnC0NJj7RGUYQAlkGUTnw.html
118,118,Infrared spectroscopy to study the exotic properties of novel quantum materials.,City University of Hong Kong,Hong Kong,"The group leader proposes to study the newest quantum materials such as unconventional superconductors, topological materials and spin liquids using infrared spectroscopy at extreme conditions - low",about 1 hour ago,https://scholarshipdb.net/jobs-in-Hong-Kong/Infrared-Spectroscopy-To-Study-The-Exotic-Properties-Of-Novel-Quantum-Materials-City-University-Of-Hong-Kong=spQ9ADta7RGUYQAlkGUTnw.html
119,119,Postdoc in in Superconducting Quantum Amplifiers,Lancaster University,United Kingdom,We are seeking an enthusiastic postdoctoral researcher for a new project to develop a microwave parametric amplifier based on quantum paraelectricity. Superconducting parametric amplifiers,about 20 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoc-In-In-Superconducting-Quantum-Amplifiers-Lancaster-University=opjuPKRQ7RGUYQAlkGUTnw.html
120,120,PhD Studentship: Surface Plasmons for Enhanced Mid-Infrared Quantum Dots Photodetection,University of Southampton ;,United Kingdom,. Experimental quantum nanotechnology is the main area of research for our team. We are particularly interested in quantum dots and 2D materials applications We have diverse expertise ranging from devices,about 11 hours ago,https://scholarshipdb.net/scholarships-in-United-Kingdom/Ph-D-Studentship-Surface-Plasmons-For-Enhanced-Mid-Infrared-Quantum-Dots-Photodetection-University-Of-Southampton=EWQTJ9BT7RGUYQAlkGUTnw.html
121,121,Research Associate (Postdoc) in SDN/NFV for Quantum Communications…,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg",Luxembourg,Research Associate (Postdoc) in SDN/NFV for Quantum Communications Infrastructure Networks (Valid from 04/10/2022 to 06/12/2022) Language: English (UK) Country: Luxembourg Organisation,16 days ago,https://scholarshipdb.net/jobs-in-Luxembourg/Research-Associate-Postdoc-In-Sdn-Nfv-For-Quantum-Communications-Interdisciplinary-Centre-For-Security-Reliability-And-Trust-Sn-T-University-Of-Luxembourg=sWewEMNc7RGUYQAlkGUTnw.html
127,127,Associate or Full Professor of Quantum Information Science,Purdue University,United States,"Quantum Information Science (QIS) to begin August 2023. These positions will be associate/full professor level appointments. When appropriate, successful candidates may be considered for joint appointments","West Lafayette, Indiana",https://scholarshipdb.net/jobs-in-United-States/Associate-Or-Full-Professor-Of-Quantum-Information-Science-Purdue-University=1JWhaABR7RGUYQAlkGUTnw.html
